ticker,name,sector,function
SLGN,Silgan Holdings Inc,Materials,Metal & Glass Containers
SLM,SLM Corp,Financials,Consumer Finance
SM,SM Energy Co,Energy,Oil & Gas Exploration & Production
SMG,Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals
SNH,Senior Housing Properties Trust,Real Estate,Specialized REITs
SNV,Synovus Financial Corp (GA),Financials,Regional Banks
SNX,SYNNEX Corporation,Information Technology,Technology Distributors
SON,Sonoco Products Co,Materials,Paper Packaging
SPN,Superior Energy Services Inc,Energy,Oil & Gas Equipment & Services
STE,STERIS plc,Health Care,Health Care Equipment
STLD,Steel Dynamics Inc,Materials,Steel
SWN,Southwestern Energy Co.,Energy,Oil & Gas Exploration & Production
SWX,Southwest Gas Corp,Utilities,Gas Utilities
SXT,Sensient Technologies Corp,Materials,Specialty Chemicals
SYNA,Synaptics,Information Technology,Semiconductors
TCB,TCF Financial Corp (MN),Financials,Regional Banks
TCBI,Texas Capital Bancshares,Financials,Regional Banks
TCO,Taubman Centers,Real Estate,Retail REITs
TDC,Teradata,Information Technology,IT Consulting & Other Services
TDS,Telephone & Data Systems Inc,Telecommunication Services,Integrated Telecommunication Services
TDY,Teledyne Technologies Inc,Industrials,Aerospace & Defense
TECD,Tech Data Corp,Information Technology,Technology Distributors
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
TER,Teradyne,Information Technology,Semiconductors
TEX,Terex Corp,Industrials,Construction & Farm Machinery & Heavy Trucks
TFX,Teleflex Inc,Health Care,Health Care Equipment
TGNA,"Tegna, Inc.",Consumer Discretionary,Broadcasting
THC,Tenet Healthcare Corp,Health Care,Health Care Facilities
THG,Hanover Insurance Group Inc,Financials,Property & Casualty Insurance
THO,Thor Industries Inc,Consumer Discretionary,Leisure Products
THS,TreeHouse Foods,Consumer Staples,Packaged Foods & Meats
TKR,Timken Co,Industrials,Industrial Machinery
TOL,Toll Brothers Inc,Consumer Discretionary,Homebuilding
TPH,TRI Pointe Group,Consumer Discretionary,Homebuilding
TPX,Tempur Sealy International,Consumer Discretionary,Household Durables
TR,Tootsie Roll Industries Inc,Consumer Staples,Packaged Foods & Meats
TRMB,Trimble Inc,Information Technology,Electronic Manufacturing Services
TRMK,Trustmark Corp (MS),Financials,Regional Banks
TRN,Trinity Industries Inc,Industrials,Construction & Farm Machinery & Heavy Trucks
TTC,Toro Company,Industrials,Agricultural & Farm Machinery
TTWO,Take-Two Interactive Software,Information Technology,Home Entertainment Software
TUP,Tupperware Corp,Consumer Discretionary,Housewares & Specialties
TXRH,Texas Roadhouse,Consumer Discretionary,Restaurants
TYL,Tyler Technologies Inc,Information Technology,Application Software
UBSI,United Bankshares Inc,Financials,Regional Banks
UE,Urban Edge Properties,Real Estate,Retail REITs
UFS,Domtar Corp,Materials,Paper & Forest Products
UGI,UGI Corp,Utilities,Gas Utilities
ULTI,Ultimate Software Group Inc,Information Technology,Application Software
UMBF,UMB Financial Corp.,Financials,Regional Banks
UMPQ,Umpqua Holdings Corporation,Financials,Regional Banks
UNFI,United Natural Foods Inc,Consumer Staples,Food & Staples Retailing
UTHR,United Therapeutics Corp,Health Care,Biotechnology
UNIT,Uniti Group,Real Estate,Specialized REITs
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail
VLY,Valley National Bancorp,Financials,Regional Banks
VMI,Valmont Industries Inc,Industrials,Industrial Machinery
VVV,Valvoline Inc,Materials,Commodity Chemicals
WOOF,VCA Antech Inc,Health Care,Health Care Facilities
VVC,Vectren Corp,Utilities,Multi-Utilities
VSM,Versum Materials Inc,Information Technology,Semiconductor Equipment
VSAT,ViaSat Inc,Information Technology,Communications Equipment
VSH,Vishay Intertechnology Inc,Information Technology,Electronic Components
WRB,W.R. Berkley Corp,Financials,Property & Casualty Insurance
WAB,Wabtec,Industrials,Construction & Farm Machinery & Heavy Trucks
WAFD,Washington Federal Inc.,Financials,Thrifts & Mortgage Finance
WBMD,WebMD Health Corp,Information Technology,Internet Software & Services
WBS,Webster Financial Corp (CT),Financials,Regional Banks
WCG,Wellcare Health Plans Inc,Health Care,Managed Health Care
WEN,Wendy's Company,Consumer Discretionary,Restaurants
WERN,Werner Enterprises Inc,Industrials,Trucking
WEX,WEX Inc.,Information Technology,Data Processing & Outsourced Services
WGL,WGL Holdings Inc.,Utilities,Gas Utilities
WOR,Worthington Industries,Materials,Steel
WPG,Washington Prime Group Inc,Real Estate,Retail REITs
WPX,WPX Energy,Energy,Oil & Gas Exploration & Production
WR,Westar Energy Inc,Utilities,Electric Utilities
WRI,Weingarten Realty Investors,Real Estate,Retail REITs
WSM,Williams-Sonoma Inc,Consumer Discretionary,Homefurnishing Retail
WSO,Watsco Inc,Industrials,Trading Companies & Distributors
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WTFC,Wintrust Financial Corp,Financials,Regional Banks
WWD,Woodward Inc,Industrials,Electrical Components & Equipment
X,United States Steel Corporation,Materials,Steel
ZBRA,Zebra Technologies Corp,Information Technology,Office Electronics
